,Subject,Session,Run,overall_gaze_entropy_LX,psd_max_LX,psd_freq_of_max_LX,overall_gaze_entropy_LY,psd_max_LY,psd_freq_of_max_LY,overall_gaze_entropy_LZ,psd_max_LZ,psd_freq_of_max_LZ,overall_gaze_entropy_RX,psd_max_RX,psd_freq_of_max_RX,overall_gaze_entropy_RY,psd_max_RY,psd_freq_of_max_RY,overall_gaze_entropy_RZ,psd_max_RZ,psd_freq_of_max_RZ,eyes_closed_fraction_L,eyes_closed_fraction_R,pupil_diam_mean_L,pupil_diam_stdev_L,pupil_diam_skew_L,pupil_diam_kurt_L,pupil_diam_mean_R,pupil_diam_stdev_R,pupil_diam_skew_R,pupil_diam_kurt_R,fix_dur_mean,fix_dur_stdev,fix_dur_skew,fix_dur_kurt,fix_density_mean,fix_density_stdev,fix_density_skew,fix_density_kurt,sac_main_seq_mean,sac_main_seq_stdev,sac_peak_vel_mean,sac_peak_vel_stdev
0,sub-cp004,ses-20210330,level-01B_run-001,18.475156754408275,7.892126865971325e-06,85.17479229492949,16.743673378095178,2.4546742979123424e-05,85.17479229492949,15.363313382685705,6.188836799095967e-05,85.17479229492949,18.521064746956835,7.609203149212917e-06,85.17479229492949,16.835064373089942,2.3818626774972816e-05,85.17479229492949,15.398859122530682,6.0214308986113113e-05,85.17479229492949,0.013975896196647632,0.01903984977450784,4.558725243705096,1.0078460493538146,-4.4019649596371,21.514980322166863,4.642714070878207,1.017790109756324,-4.383989917735337,21.59956190007417,1.7631050798066354e-06,1.7949127092824537e-06,6.306835502305507,78.63098488740934,0.016882011911589282,0.07026676501089318,4.847740737341897,22.471983759292204,7.268880556764892e-07,3.429842102828595e-08,0.044612698135041595,0.14106299201405642
1,sub-cp004,ses-20210330,level-01B_run-007,18.170087642265226,8.790016487283285e-06,85.15045727393566,17.07597593639272,1.924806493273772e-05,85.15045727393566,15.254375904898286,6.78211083484176e-05,85.15045727393566,18.22131507851236,8.446924502819348e-06,85.15045727393566,17.218289762228654,1.7520404024649353e-05,85.15045727393566,15.247323323785604,6.779019237114778e-05,85.15045727393566,0.013278699510784754,0.017184762524771906,4.346024399108294,0.9767959471588894,-4.57354188492085,22.329590936772185,4.279249767233968,0.9698269854933347,-4.502717186746123,21.80941700417398,1.5885910212948052e-06,1.269680477625519e-06,3.4307567229091234,17.51429237508944,0.01599873938565185,0.06629506908846967,4.804931511574087,21.979834844845513,8.339982373882664e-07,5.199070783688904e-08,0.04507521986820934,0.1440261705855896
2,sub-cp004,ses-20210330,level-01B_run-012,17.759339269448464,1.2774763081564674e-05,85.34554409398002,16.757602464896507,2.6388521418591764e-05,85.34554409398002,14.533825907390995,0.00011523456374479771,85.34554409398002,17.812920265385163,1.2314169554615271e-05,85.34554409398002,16.926108568865796,2.3030345277193143e-05,85.34554409398002,14.60109120007183,0.00010882428617598229,85.34554409398002,0.027393194308802972,0.02969112043047816,3.9346499567694235,1.164683854987467,-3.523926970157426,12.324436632720857,3.838905001660938,1.1238344312802455,-3.5451216447257408,12.691053858967134,1.7275203520382223e-06,1.6420019055393427e-06,6.5819902057444475,87.08213288040713,0.02342739512955042,0.08181969146040431,3.8467804699322805,13.525137402182196,7.398191791173645e-07,4.332435159677918e-08,0.05016772052793945,0.15758127870779207
3,sub-cp004,ses-20210330,level-02B_run-003,19.169801114138743,4.821066803268853e-06,85.11365472077073,17.343928107225285,1.6295084834653326e-05,85.11365472077073,15.561209481573083,5.568186929772316e-05,85.11365472077073,19.05504213940567,5.168841447569818e-06,85.11365472077073,17.3561261304632,1.608820687371129e-05,85.11365472077073,15.594186678003394,5.4180150324089005e-05,85.11365472077073,0.01273535658998452,0.012942362386146811,4.649011488956822,0.9493261986329613,-5.027737915915825,27.236210837575765,4.647752556734064,0.9435715015611172,-5.025453067786011,27.409102329492228,1.5087833107119215e-06,1.1076064097611487e-06,2.5957017447630273,9.030908438369993,0.013557401328827587,0.06197044535748555,5.429427258742203,28.46072286234982,8.268474143174502e-07,4.624409310406715e-08,0.04153794000106579,0.1376735452018532
4,sub-cp004,ses-20210330,level-02B_run-008,17.869050179164606,1.1698761042362326e-05,85.26882105009311,17.209274285529013,1.8043078106310092e-05,85.26882105009311,15.213788558768744,6.76488982561254e-05,85.26882105009311,17.696924465135158,1.2737972836686342e-05,85.26882105009311,17.353450221717154,1.6849763821322497e-05,85.26882105009311,15.195717547735866,6.902834129738124e-05,85.26882105009311,0.014068122176230284,0.017585152720287857,4.191774142873298,0.9683600595791352,-4.574439422376154,21.906659896705115,4.154755603414727,0.971554208553629,-4.519673669638588,21.370420033601725,1.5700306216318637e-06,1.1836750426775826e-06,3.2222311785760454,20.78678557609945,0.01696362874129203,0.07009628708230257,4.760737731568219,21.715043007117952,8.188713701926782e-07,2.8394158040356038e-08,0.04434325101881074,0.14140369101736416
5,sub-cp004,ses-20210330,level-02B_run-010,18.161198102370314,8.875344306502392e-06,85.23970482562444,16.947381680548975,2.1043338650502797e-05,85.23970482562444,14.668455622514292,0.00010181812466661849,85.23970482562444,18.346069370083868,7.696074641162285e-06,85.23970482562444,17.172730447645424,1.8098512236855765e-05,85.23970482562444,14.702158866604979,9.907316293976207e-05,85.23970482562444,0.02490926632057702,0.023880185602058162,4.157744836555327,1.0931548149629124,-4.118076470018862,16.7356076918436,4.057045676835608,1.0611322555311513,-4.167238709297799,17.160128690771337,1.5162023158480932e-06,1.2305397865953918e-06,3.9889965013737907,24.71649455003572,0.01805914483873523,0.0734950667990993,4.533611876058547,19.232514338270914,8.05837676203496e-07,3.016661404838989e-08,0.04224559975457452,0.13528772242186812
6,sub-cp004,ses-20210330,level-03B_run-002,18.05077102034094,9.258301469652802e-06,85.10970985385478,17.37473069169569,1.5731982422253363e-05,85.10970985385478,16.228421010916858,3.3853367680264506e-05,170.21941970770956,18.33642717116073,8.52782660192461e-06,85.10970985385478,17.49835221602544,1.457589372988332e-05,85.10970985385478,16.295184174572036,3.2424301149881535e-05,85.10970985385478,0.008026251991410958,0.007498095172127173,4.622156117558108,0.8081528196521498,-5.669415962291684,37.147900274221705,4.677695369674218,0.8036374819513916,-5.8046245219770745,38.638916292236964,1.5014247222623935e-06,1.165826345043882e-06,3.2105678867813294,16.99234206081735,0.015330518878469436,0.06704873985185748,5.08182556729676,24.37432136462129,8.500603030549673e-07,4.8570803320579225e-08,0.03817216175488037,0.11724374605330568
7,sub-cp004,ses-20210330,level-03B_run-005,18.45466147025418,7.903004762077643e-06,85.22632794424854,17.772636902518077,1.4666062588858914e-05,85.22632794424854,15.373105586816216,6.281939044166265e-05,85.22632794424854,18.37308623350641,8.222584952312108e-06,85.22632794424854,18.07611586778968,1.2929467460680402e-05,85.22632794424854,15.409541623227636,6.0303440164538514e-05,85.22632794424854,0.024074790004568938,0.021881699645028643,4.27054369352666,0.9505508947118486,-4.783204892211649,23.87381219284271,4.234492141143914,0.9330882542492214,-4.810178992205403,24.347965602659954,1.4466651895043174e-06,1.0473285253644719e-06,2.813255335982696,13.167222377832417,0.017699078680562613,0.07978871290521629,5.036456731715851,23.79585954968662,1.013663152232078e-06,9.313042986907334e-08,0.03882515058958721,0.131697697385938
8,sub-cp004,ses-20210330,level-03B_run-011,18.715238263021934,6.77391773869262e-06,85.15750947165574,16.84413859978718,2.2530333381107103e-05,85.15750947165574,14.265313886933022,0.00013261078187244018,85.15750947165574,18.791178525092885,6.3990045858376614e-06,85.15750947165574,17.160463590539948,1.8426888818704003e-05,85.15750947165574,14.369639793972258,0.00012362346328594724,85.15750947165574,0.025896731910371094,0.026676113718891153,3.9623520054224692,1.147022931082829,-3.901133236031612,14.078526782405707,3.8936800960695845,1.108586362735113,-3.9618310736056483,14.70450605782774,1.5974426796179856e-06,1.2934681945154094e-06,3.538234934067556,20.5586489692717,0.0212883764063373,0.07731748382289523,3.9766822196172087,14.550055002440168,8.435101818550919e-07,3.855395160494741e-08,0.053044280734644685,0.15723695961771209
9,sub-cp004,ses-20210330,level-04B_run-004,18.261689359372724,8.315812560073298e-06,85.11743736620038,17.281529339396627,1.6836828239196007e-05,85.11743736620038,15.782551737626187,4.7112016652895275e-05,170.23487473240075,18.368356974564353,8.026978472968787e-06,85.11743736620038,17.337809430298222,1.6279764889323992e-05,85.11743736620038,15.867970137587951,4.387104691160986e-05,170.23487473240075,0.012452299658565978,0.012558006786397607,4.50949406223372,0.8883056470020354,-5.306491492129312,30.2532911074898,4.366527088847687,0.8667641502119248,-5.11881084134479,29.236255020756303,1.3749767776561885e-06,9.360219243225304e-07,3.522085787466636,26.911912807178197,0.014709718096951215,0.06687593111693736,5.273751605250316,26.66947645584941,9.673040129808563e-07,6.699532363354754e-08,0.03792298497881207,0.11894417917187304
